title,description,pricing,tags,utility_score,link,pros,image_url,slug,created_at
Softr,AI app builder for creating apps from spreadsheets and databases,Freemium,"[""Android to ios app"", ""No-code Builder"", ""Productivity""]",92,https://www.softr.com,"[""No-code Required"", ""Interactive Apps"", ""Fast Deployment""]",https://cdn.prod.website-files.com/6772e8855f7859bc8df95c78/69cb9d33b244d44a7d3d428c_AI%20Launch%20Image.jpg,softr-82,2026-05-29T14:49:43.536837+00:00
GDevelop,"Free, fast, and easy game engine for creating Android and iOS games",Free,"[""Game Android to ios app"", ""Game Engine"", ""No-code""]",92,https://gdevelop.io,"[""No-code Engine"", ""AI-assisted"", ""One-click Publish""]",https://cdn.sanity.io/images/a389kcxn/gdevelop/bb7347a19cd361ee11790de1f9e055c660cec223-2107x2160.png?h=600&amp;w=800&amp;fit=crop,gdevelop-83,2026-05-29T14:50:15.84681+00:00
Manus,AI-powered no-code mobile app builder for creating iOS and Android apps,Paid,"[""Game Android to ios app"", ""AI App Builder"", ""No-code""]",88,https://manus.im,"[""No-code Builder"", ""AI Integration"", ""Custom APIs""]",https://files.manuscdn.com/webapp/media/ogBanner.png,manus-84,2026-05-29T14:50:16.888331+00:00
Jasper AI,AI content writing tool for blog posts and product descriptions,Paid,"[""Content"", ""Generative AI"", ""Productivity""]",90,https://www.jasper.ai,"[""AI Writing"", ""50 Templates"", ""Ecommerce Support""]",https://cdn.prod.website-files.com/6807ee8d73c233fb82842313/6846454bda26628fcf51d54c_9650916b48ce089735bcc21cc8e43f2f_OpenGraph%20-%20Home.png,jasper-ai-85,2026-06-02T03:12:11.565801+00:00
Recraft,Free online AI bag generator for custom bag designs,Free,"[""Bag"", ""Generative AI"", ""Productivity""]",90,https://www.recraft.ai,"[""AI Image Gen"", ""Custom DPI"", ""Figma Integration""]",https://framerusercontent.com/assets/HvQ4bEfLTmu6moXTB0tfExFJ1l0.png,recraft-87,2026-06-02T03:12:37.620558+00:00
Flair,AI product photo generator and editor for ecommerce,Paid,"[""Bag"", ""Product Photography"", ""AI""]",91,https://flair.ai,"[""Custom Models"", ""On Model Photography"", ""Instant Gen""]",https://flair.ai/cdn-cgi/imagedelivery/i1XPW6iC_chU01_6tBPo8Q/27e80a51-e8fc-4197-4a9a-9d422bf1a200/public,flair-88,2026-06-02T03:12:38.80607+00:00
eCornell Artificial Intelligence Certificates,Professional certificate program in artificial intelligence and machine learning offered by Cornell University.,"$3,750","[""Certificate "", ""Artificial Intelligence"", ""Machine Learning""]",90,https://ecornell.cornell.edu/certificates/ai,"[""Expert Faculty"", ""Hands On"", ""Real World""]",,ecornell-artificial-intelligence-certificates-89,2026-06-03T12:03:16.588783+00:00
Ludo.ai,AI tool for creating hit games,Paid,"[""Android game to ios"", ""AI Game Development"", ""Game Creator""]",85,https://www.ludo.ai,"[""AI Game Assets"", ""Game Economy"", ""Hit Game""]",https://www.ludo.ai/images/ludo-blue.png,ludo-ai-90,2026-06-04T09:11:49.861851+00:00
On-Device AI,Private AI agent app for on-device AI models,Free,"[""Android game to ios"", ""On-Device AI"", ""Private AI Agent""]",80,https://www.ondevice.ai,"[""Local AI Models"", ""Private Agent"", ""On-Device""]",,on-device-ai-91,2026-06-04T09:11:50.347785+00:00
Ludo.ai,AI tool for creating hit games,Paid,"[""Android game to ios"", ""Game Development"", ""AI Game Assets""]",85,https://ludo.ai,"[""AI Game Assets"", ""Game Economy"", ""Hit Game Creator""]",https://ludo.ai/images/ludo-blue.png,ludo-ai-92,2026-06-04T09:12:07.148046+00:00
On-Device AI,Private AI agent app for on-device AI models,Free,"[""Android game to ios"", ""On-Device AI"", ""Private AI Agent""]",80,https://ondevice.ai,"[""Local AI Models"", ""Private Agent"", ""On-Device AI""]",,on-device-ai-93,2026-06-04T09:12:08.651692+00:00
Gemini,Google's AI-powered chatbot for Android and iOS devices,Free,"[""Android to ios"", ""AI Chatbot"", ""Google""]",95,https://gemini.google,"[""AI Powered"", ""Cross Platform"", ""Knowledge Base""]",https://www.gstatic.com/lamda/images/gemini_aurora_thumbnail_4g_e74822ff0ca4259beb718.png,gemini-94,2026-06-04T09:12:31.266701+00:00
Bubble,"Full-stack no-code platform for designing UI, modeling data, and hosting apps with native iOS and Android packaging",Paid,"[""Android to ios app"", ""No-code"", ""AI App Generator""]",92,https://bubble.io,"[""Full Stack"", ""No Code"", ""AI Agent""]","https://meta-q.cdn.bubble.io/cdn-cgi/image/w=,h=,f=auto,dpr=1,fit=contain/f1762463484754x595287411041153000/Bubbleio%20opengraph.png",bubble-95,2026-06-04T09:12:50.803385+00:00
Adalo,"No-code platform for building mobile and web apps with drag-and-drop design, data collections, and logic flows",Freemium,"[""Android to ios app"", ""No-code"", ""Beginner Friendly""]",88,https://www.adalo.com,"[""Drag Drop"", ""No Code"", ""Logic Flows""]",https://www.adalo.com/og/default.png,adalo-96,2026-06-04T09:12:51.306087+00:00
Powtoon,Turn boring docs into engaging videos with AI-powered conversion.,Paid,"[""Pdf to video"", ""AI Video"", ""Productivity""]",92,https://www.powtoon.com,"[""Prompt Based"", ""Url Based"", ""Bite Sized""]",,powtoon-98,2026-06-04T12:29:12.784737+00:00
Docustream,Exports and embeds videos in various formats.,Paid,"[""Pdf to video"", ""Generative AI"", ""Productivity""]",90,https://docustream.ai,"[""Multilingual"", ""Embeddable"", ""Credits-based""]",https://www.libertify.com/wp-content/uploads/2026/02/pdf-document-floating-above-desktop-comp_o_KsCnheR-OSJNNgtaEKpw_edfR6yXCT4emOy5pcYfVNA.jpeg,docustream-99,2026-06-04T12:30:01.98713+00:00
UPDF AI,Smart AI assistant for PDF reading and chat,Paid,"[""Pdf "", ""AI Assistant"", ""Productivity""]",90,https://ai.updf.com,"[""Smart Assistant"", ""PDF Chat"", ""Easy Integration""]",https://updf.com/wp-content/uploads/2025/06/updf-ai-online-banner-1.jpg,updf-ai-100,2026-06-04T12:30:24.355629+00:00
Nitro PDF,Smart document solutions with AI-powered tools,Paid,"[""Pdf "", ""eSign"", ""Productivity""]",92,https://www.gonitro.com,"[""AI Powered"", ""Smart Tools"", ""Robust Security""]",https://www.gonitro.com/hubfs/EN%20-%20Featured%20Images%20-%20Priority%20Pages%20-%20Home%20-%201200x628.png,nitro-pdf-101,2026-06-04T12:30:26.218704+00:00
X-Pilot,Convert PDF to video with accuracy and no watermark.,Free,"[""Pdf to video"", ""Generative AI"", ""Productivity""]",92,https://www.x-pilot.ai,"[""Fast Conversion"", ""No Watermark"", ""Accurate""]",https://www.x-pilot.ai/assets/resource/x-pilot-logo.png,x-pilot-102,2026-06-05T01:06:04.867746+00:00
Coggle,A mind mapping software with a generous free plan and real-time collaboration features.,Freemium,"[""Mindmap"", ""Collaboration"", ""Productivity""]",90,https://coggle.it,"[""Real-time Sync"", ""No-code Builder"", ""Generous Free""]",https://static.coggle.it/resources/presskit/brand/coggle-banner-green.png?_v=,coggle-103,2026-06-05T01:06:39.098402+00:00
MindMeister,A mind mapping software with real-time collaboration and integration with MeisterTask.,Freemium,"[""Mindmap"", ""Collaboration"", ""Task Management""]",92,https://www.mindmeister.com,"[""Real-time Collab"", ""Task Integration"", ""MeisterTask""]",https://a.storyblok.com/f/340293/1120x841/7e09effbd8/mm_hero_mobile-apps.png,mindmeister-104,2026-06-05T01:06:40.558242+00:00
GitMind,A free AI mind map generator that converts text and ideas into visual diagrams.,Free,"[""Mindmap"", ""AI Generation"", ""Free""]",95,https://gitmind.com,"[""AI Generation"", ""Free Plan"", ""Collab Features""]",https://cfcdn.apowersoft.info/local/gitmind.com/img/gitmind.png?4362984378,gitmind-105,2026-06-05T01:06:41.089901+00:00
Parseur,Automated document processing and data extraction tool for PDFs,Custom,"[""Pdf"", ""Automation"", ""Productivity""]",90,https://parseur.com,"[""Auto Extract"", ""No Manual"", ""Zapier Integration""]",https://parseur.com/images/parseur-cover-v7_1024.png,parseur-106,2026-06-05T08:26:13.77266+00:00
Ada Health,Enterprise-grade AI platform for intelligent symptom assessments,Paid,"[""Health diagnosis"", ""AI-powered"", ""Symptom assessment""]",90,https://www.ada.com,"[""Accurate Assessments"", ""Digital Front"", ""Curated Knowledge""]",https://ada.com/social-default.png,ada-health-108,2026-06-05T08:27:17.013661+00:00
VUNO Med,AI-approved diagnostic software for medical imaging,Paid,"[""Health diagnosis"", ""AI-powered"", ""Medical imaging""]",92,https://www.vunomed.com,"[""Fast Analysis"", ""AI-approved"", ""Medical Imaging""]",,vuno-med-109,2026-06-05T08:27:18.461773+00:00
Athelas,AI-based platform for clinical decision support and patient care,Paid,"[""Health diagnosis"", ""AI-powered"", ""Clinical decision""]",88,https://www.athelas.com,"[""Automated Scribing"", ""Chart Integration"", ""AI-based Insights""]",https://storage.googleapis.com/athelas_website/Athelas%20-%20thumbnail%20-%20Frame%201%20(1).png,athelas-110,2026-06-05T08:27:19.347881+00:00
Ada Health,AI-powered symptom assessment and patient triage platform,Free,"[""health check"", ""AI"", ""symptom assessment""]",90,https://ada.com,"[""Accurate Triage"", ""Easy Integration"", ""Patient Engagement""]",https://ada.com/social-default.png,ada-health-111,2026-06-06T16:23:14.26191+00:00
Shen AI,Camera-based health screenings and diagnostic platform,Paid,"[""health check"", ""AI"", ""diagnostic accuracy""]",92,https://shen.ai,"[""Objective Data"", ""Improved Diagnostics"", ""Patient Engagement""]",https://cdn.prod.website-files.com/680280c18df8e68403545b30/68078c7f2d7c9a3190556272_OG.png,shen-ai-112,2026-06-06T16:23:15.832481+00:00
Hedy,AI-powered medical visit summary and analysis platform,$12.99/mo,"[""health check"", ""AI"", ""medical summary""]",88,https://hedy.ai,"[""Real-time Summaries"", ""Accurate Analysis"", ""Easy Sharing""]",https://dl.hedy.ai/images/hedy-social-share-image-1200-630.jpg,hedy-113,2026-06-06T16:23:16.802486+00:00
LlamaParse,AI-powered receipt processing with semantic reconstruction and layout-aware extraction.,Freemium,"[""I need to extract text from a messy scanned receipt and format it into clean JSON"", ""Generative AI"", ""Productivity""]",95,https://llamaparse.ai,"[""Semantic Reconstruction"", ""Layout Aware"", ""Multimodal Parsing""]",https://www.llamaindex.ai/og-image.png,llamaparse-115,2026-06-06T16:30:33.078029+00:00
Pixelbin,Free AI video generator with no login or signup required,Free,"[""Open source video generator with no watermarks"", ""Generative AI"", ""Productivity""]",90,https://www.pixelbin.io,"[""No Login"", ""Cinematic Motion"", ""Realistic Skin""]",https://cdn.prod.website-files.com/673193e0642e6ad25696fcd4/69142aab39cc5bef55294854_Screenshot%202025-11-12%20at%2012.04.51%E2%80%AFPM.png,pixelbin-117,2026-06-06T16:31:32.869112+00:00
WAN 2.6,Open source AI video generation model with world simulator capabilities,Free,"[""Open source video generator with no watermarks"", ""Generative AI"", ""Productivity""]",92,https://www.atlascloud.ai,"[""Open Source"", ""World Simulator"", ""Consumer Grade""]",https://www.atlascloud.ai/api/og?title=Full-Modal%20AI%20Platform,wan-2-6-118,2026-06-06T16:31:34.350492+00:00
CloneVoiceAI,All-in-one AI voice clone and music maker app with no monthly costs or hidden fees,Paid,"[""Generate a realistic voiceover from a script using a cloned voice"", ""Generative AI"", ""Productivity""]",92,https://clonevoice.ai,"[""No Coding"", ""Real Time"", ""Emotion FX""]",,clonevoiceai-119,2026-06-06T16:32:19.839757+00:00
ElevenLabs,AI voice cloning platform with free and premium plans,Freemium,"[""Generate a realistic voiceover from a script using a cloned voice"", ""Generative AI"", ""Productivity""]",95,https://elevenlabs.io,"[""Free Plan"", ""Fast Cloning"", ""High Quality""]",https://elevenlabs.io/cover.png,elevenlabs-120,2026-06-06T16:32:21.025866+00:00
DocuGenie,Extract data from invoices and receipts using AI-powered tools,Free,"[""Extract JSON from messy receipts"", ""Generative AI"", ""Productivity""]",92,https://docugenie.ai,"[""Fast Upload"", ""Auto Extract"", ""Line Items""]",,docugenie-121,2026-06-06T16:57:00.039802+00:00
LlamaParse,AI solution for receipt processing with semantic reconstruction and layout-aware extraction,Paid,"[""Extract JSON from messy receipts"", ""AI-powered"", ""Expense Management""]",95,https://www.llamaindex.ai,"[""Agentic OCR"", ""Multimodal Parsing"", ""Auto Correction""]",https://www.llamaindex.ai/og-image.png,llamaparse-122,2026-06-06T16:57:00.556363+00:00
Mindee,AI-powered receipt data extraction with official SDKs for software engineering teams,Freemium,"[""Extract JSON from messy receipts"", ""AI-powered"", ""Developer Tools""]",90,https://www.mindee.com,"[""Open Source"", ""Type Safety"", ""Error Handling""]",https://cdn.prod.website-files.com/67e9eeb19d0cc4c32feb7410/697242693992ad9c5a0316ad_Open%20Graph.jpg,mindee-123,2026-06-06T16:57:01.079111+00:00
LTX-2.3 Model,Open source AI video generator with full model transparency and modern video generation architecture.,Free,"[""Open source video generator without watermarks"", ""Generative AI"", ""Productivity""]",98,https://ltx.io/,"[""Model Transparency"", ""Modern Architecture"", ""Open Access""]",https://cdn.prod.website-files.com/68872d15af29880764eac4aa/695acefd2f8d1bb5aa46759e_ltx-io.jpg,ltx-2-3-model-124,2026-06-06T16:58:14.006949+00:00
WAN 2.6,"Open source video generator that runs on consumer-grade hardware, making professional synthesis accessible to everyone.",Free,"[""Open source video generator without watermarks"", ""Generative AI"", ""Accessibility""]",96,https://wan.io/,"[""Consumer Grade"", ""Professional Synthesis"", ""Accessible""]",,wan-2-6-125,2026-06-06T16:58:23.293786+00:00
Adobe Firefly,"AI video generator open source that simplifies the video production process, eliminating the need for extensive production experience.",Free,"[""Open source video generator without watermarks"", ""Generative AI"", ""Simplified Production""]",94,https://adobe.io/,"[""Simplified Production"", ""Intuitive Interface"", ""Creative Freedom""]",https://developer.adobe.com/shared/images/adobe-social-share.png,adobe-firefly-126,2026-06-06T16:58:24.248474+00:00
Resemble AI,High-end voice cloning and synthetic voice production platform,Paid,"[""Clone voice generator"", ""Generative AI"", ""Productivity""]",95,https://www.resemble.ai,"[""Real-time Sync"", ""Granular Control"", ""Accent Morphing""]",https://cdn.prod.website-files.com/69bc3de63d285e297507b3ef/69e17438fd97a84522288776_5d699e328d580edfe2a53aac2ff01057_resemble-ograph-0326.avif,resemble-ai-127,2026-06-06T17:22:13.648483+00:00
AnyVoice,Simple AI voice cloning interface for accessible voice synthesis,Freemium,"[""Clone voice generator"", ""AI Voice Cloning"", ""User-friendly""]",90,https://anyvoice.net,"[""Easy Interface"", ""Secure Data"", ""Fast Cloning""]",https://anyvoice.net/og-image.png,anyvoice-128,2026-06-06T17:22:15.274912+00:00
Fish Audio,AI text-to-speech and free voice cloning platform for developers and creators,Freemium,"[""Clone voice generator"", ""AI Text To Speech"", ""Developer Tools""]",92,https://fish.audio,"[""Ultra-low Latency"", ""Comprehensive SDKs"", ""Free Testing""]",https://img.ogis.dev/?template=fish&amp;logo=https%3A%2F%2Fdocs.fish.audio%2Flogo%2Fdark.png&amp;title=Fish+Audio&amp;description=TTS+and+voice+cloning+with+unmatched+emotion+control.&amp;subtitle=The+Most+Expressive+AI+Speech,fish-audio-129,2026-06-06T17:22:15.907736+00:00
Mureka,AI music generator with fast generation and best pricing,Paid,"[""Music player"", ""AI Music Generator"", ""Fast Generation""]",90,https://mureka.com,"[""Fast Generation"", ""Best Pricing"", ""AI Music""]",,mureka-148,2026-06-28T05:15:59.143333+00:00
Neo4j Graph Intelligence Platform,Enterprise-grade graph intelligence platform for secure and scalable graph management,Paid,"[""Graph to theory"", ""Graph Intelligence"", ""Enterprise-Grade""]",95,https://neo4j.com,"[""Robust Security"", ""Graph Algorithms"", ""Premium Support""]",https://dist.neo4j.com/wp-content/uploads/20260323085936/neo4j-graph-intelligence-platform-og-image.webp,neo4j-graph-intelligence-platform-131,2026-06-10T10:24:41.379171+00:00
GraphPad Prism,Scientific graphing and statistical analysis software for research,Paid,"[""Graph to theory"", ""Scientific Graphing"", ""Statistical Analysis""]",92,https://www.graphpad.com,"[""Generalized Models"", ""Clinical Stats"", ""Simulations""]",https://cdn.graphpad.com/assets/0.99.4/images/srcset/prism-open-graph.png,graphpad-prism-132,2026-06-10T10:24:42.411705+00:00
MagicShot.ai,"AI image generator, video generator, and photo editor",Freemium,"[""Picture to story"", ""AI Image Generator"", ""Photo Editor""]",90,https://magicshot.ai,"[""AI Models"", ""Fast Performance"", ""Easy Editing""]",https://d2q9lphzn5ioni.cloudfront.net/uploads/uploads_img/Facebook-Meta-Image-8.webp,magicshot-ai-133,2026-06-10T10:25:19.635317+00:00
Corti,Build Healthcare AI Apps with Corti,Paid,"[""Health care"", ""AI Platform"", ""Developers""]",90,https://www.corti.ai,"[""AI Agents"", ""Medical Coding"", ""Speech Text""]",https://cdn.prod.website-files.com/679910de24e675a93f045f3b/6981c7f01bdf91be71d560cb_og-default.png,corti-135,2026-06-10T10:26:27.96607+00:00
Notable,The AI Platform Purpose-Built for Healthcare,Paid,"[""Health care"", ""AI Platform"", ""Revenue Cycle""]",92,https://www.notablehealth.com,"[""Auto Copay"", ""RTE Verification"", ""AI Agents""]",https://cdn.prod.website-files.com/628b58b14c93b9187d929a89/6760ac3b5c5a37d5e1a3e30e_Screenshot%202024-12-16%20at%205.39.18%E2%80%AFPM%201.avif,notable-136,2026-06-10T10:26:28.50908+00:00
Vidnoz AI,"Free PDF to video tool with avatar-based conversion, talking photo, and voice cloning features.",Free,"[""pdf to video"", ""AI Avatars"", ""Free Tools""]",90,https://vidnoz.ai,"[""Avatar Based"", ""No Watermark"", ""Free Plan""]",,vidnoz-ai-137,2026-06-11T05:55:41.528194+00:00
UpToDate,AI-enhanced clinical decision support for medical professionals.,Paid,"[""healthcare"", ""Clinical Decision"", ""AI Support""]",90,https://www.wolterskluwer.com/en/solutions/uptodate/ai-clinical-decision-support,"[""Expert AI"", ""Medical Knowledge"", ""AI Insights""]",https://assets.contenthub.wolterskluwer.com/api/public/content/5e215ed0b2ec4eb39e58eecd561bff09?v=97a04e65,uptodate-138,2026-06-11T05:57:09.748497+00:00
Oracle Health Clinical AI Agent,AI-powered clinical decision support for healthcare providers.,Paid,"[""healthcare"", ""Clinical AI"", ""Decision Support""]",88,https://www.oracle.com/health/clinical-suite/clinical-ai-agent,"[""AI Insights"", ""Clinical Support"", ""Data Analytics""]",https://www.oracle.com/a/ocom/img/social-og-oracle-health-1200x630.jpg,oracle-health-clinical-ai-agent-139,2026-06-11T05:57:11.178188+00:00
Autodesk Fusion,AI-powered design software for professionals,Paid,"[""laptop design"", ""Generative AI"", ""Productivity""]",90,https://www.autodesk.com,"[""AI Driven"", ""Cloud Based"", ""Collab Tools""]",,autodesk-fusion-140,2026-06-17T04:35:18.642769+00:00
Coderabbit AI,AI tool for architecture and system design before coding starts.,Freemium,"[""system design"", ""AI"", ""Architecture""]",90,https://coderabbit.ai,"[""No Code"", ""Fast Design"", ""AI Powered""]",https://victorious-bubble-f69a016683.media.strapiapp.com/og_home_3a0c2bf16f.png,coderabbit-ai-142,2026-06-17T04:35:36.427025+00:00
Foyr Neo,All-in-one interior design tool with AI technology for pros and amateur designers,Paid,"[""furniture design"", ""AI Interior Design"", ""Productivity""]",92,https://www.foyr.com/,"[""AI Powered"", ""AutoCAD Integration"", ""SketchUp Compatible""]",,foyr-neo-143,2026-06-17T04:36:04.10746+00:00
Planner 5D,AI interior design app for creating stunning spaces with smart tools,Freemium,"[""furniture design"", ""AI Interior Design"", ""Home Decor""]",90,https://planner5d.com/,"[""Easy Interface"", ""AI Features"", ""Creative Control""]",,planner-5d-144,2026-06-17T04:36:10.334183+00:00
Getimg.ai,AI furniture design tool for generating custom furniture designs,Paid,"[""furniture design"", ""AI Generative Design"", ""Productivity""]",88,https://getimg.ai/,"[""AI Generation"", ""Custom Designs"", ""Fast Rendering""]",https://static.getimg.ai/media/og-image-1200x630.jpg,getimg-ai-145,2026-06-17T04:36:10.841128+00:00
Krikey AI,Free animation software for creating talking avatars with no experience required.,Free,"[""Animation generation"", ""Generative AI"", ""Productivity""]",90,https://www.krikey.ai,"[""No-code Builder"", ""Real-time Sync"", ""Easy Avatar""]",https://cdn.krikey.ai/home-og-image.png,krikey-ai-45,2026-05-28T15:11:07.847331+00:00
Cadence AI,AI-driven digital twin supercomputer for intelligent system design.,Paid,"[""system design"", ""AI"", ""Digital Twin""]",95,https://www.cadence.com,"[""AI Studio"", ""Multiphysics"", ""SoC Design""]",https://www.cadence.com/content/dam/cadence-www/global/en_US/images/site-images/common/social-thumbnail.jpg,cadence-ai-141,2026-06-17T04:35:35.476399+00:00
Cursor,AI coding tool with advanced features and VS Code integration,Freemium,"[""Coding"", ""Generative AI"", ""Productivity""]",92,https://cursor.ai,"[""Auto Code"", ""Multi File"", ""GPT-4""]",https://www.cursor.de/images/erweiterungen/ki-assistent/ki-assistent_AdobeStock_566576282_900x600.jpg,cursor-146,2026-06-19T04:50:43.198412+00:00
CodeGeeX,AI coding tool with support for 20+ programming languages and local deployment,Paid,"[""Coding"", ""Generative AI"", ""Flexibility""]",88,https://codegeex.io,"[""Multi Lang"", ""Local Deploy"", ""Code Translate""]",,codegeex-147,2026-06-19T04:50:45.172557+00:00
Orb Producer Suite,Collection of generative AI plugins for music production,Paid,"[""Music player"", ""AI Music Generator"", ""Music Production""]",92,https://www.orbplugins.com,"[""Infinite Melodies"", ""Polyrhythm Engine"", ""Lyrical Melody""]",https://cdn.prod.website-files.com/66451c84f87c605764b3d93a/68c8526563d03f1f0c202fab_LANDR%20Composer.avif,orb-producer-suite-149,2026-06-28T05:15:59.807353+00:00
Moises,World's #1 vocal remover for musicians using AI to extract or remove vocals and instruments from any song,Freemium,"[""Music player free"", ""Vocal remover"", ""AI Music""]",90,https://moises.ai,"[""Vocal Remover"", ""AI Powered"", ""Multi Track""]",https://storage.googleapis.com/moises-cms-site/moises_creative_suite_for_musicians_68382e5fd2/moises_creative_suite_for_musicians_68382e5fd2.png,moises-150,2026-06-28T05:18:32.352891+00:00
Freebeat,AI music video generator that offers a free plan with essential features and paid plans for more advanced features,Freemium,"[""Music player free"", ""AI Music Video"", ""Dance Video""]",88,https://freebeat.ai,"[""AI Video"", ""Dance Video"", ""Lyrics Video""]",https://freebeat.ai/assets/share/default-social-card.png,freebeat-151,2026-06-28T05:18:33.800878+00:00
AI Car Designer,Generate ultra-realistic vehicle designs instantly with AI car modification studio.,Paid,"[""Car mods"", ""Generative AI"", ""Productivity""]",90,https://www.ai-cardesigner.com,"[""Ultra Realistic"", ""Instant Render"", ""Customizable""]",,ai-car-designer-152,2026-06-29T12:12:15.704426+00:00
Phygital AI Car Generator,Create and modify cars with AI using a flexible node system and friendly UI.,Free,"[""Car mods"", ""Generative AI"", ""Creativity""]",92,https://phygital.plus,"[""Flexible Nodes"", ""Friendly UI"", ""Rich Imagination""]",https://phygital.plus/wp-content/uploads/2026/01/phygital_pipeline-scaled.png,phygital-ai-car-generator-153,2026-06-29T12:12:16.852083+00:00
Visualizee AI Car Generator,Create photorealistic vehicle renders for design prototyping and custom car visualization.,Freemium,"[""Car mods"", ""Generative AI"", ""Design""]",95,https://visualizee.ai,"[""Photorealistic"", ""Customizable"", ""Accurate Quotes""]",https://visualizee.ai/og-image.jpg,visualizee-ai-car-generator-154,2026-06-29T12:12:17.405443+00:00
Layla,"AI trip planner that covers cultural landmarks, hidden gems, and local neighborhoods",Freemium,"[""Trip planner"", ""AI"", ""Travel""]",90,https://layla.ai,"[""Personalized Itineraries"", ""Hidden Gems"", ""Local Insights""]",https://layla.ai/layla-seo-thumb.webp,layla-155,2026-06-29T12:13:50.619655+00:00
Trip Planner AI,AI-powered trip planning tool that saves hours with real-time prices and easy booking,Freemium,"[""Trip planner"", ""AI"", ""Travel planning""]",92,https://tripplanner.ai,"[""Real-time Prices"", ""Easy Booking"", ""Personalized Plans""]",https://tripplanner.ai/logo/logo-text-og.webp,trip-planner-ai-156,2026-06-29T12:13:51.663157+00:00
Jotform AI Agent,AI-powered trip planner that suggests neighborhoods to stay in and local safety tips,Free,"[""Trip planner"", ""AI"", ""Travel planning""]",88,https://www.jotform.com/ai/trip-planner,"[""Neighborhood Suggestions"", ""Local Safety Tips"", ""Customizable Plans""]",https://cdn.jotfor.ms/assets/img/landing/opengraph.png?v=1.0.0.0.a,jotform-ai-agent-157,2026-06-29T12:13:52.920843+00:00
Gamma,AI-powered pitch deck generator for hackathons,Freemium,"[""Hackathon"", ""AI Pitch Deck"", ""Productivity""]",90,https://www.gamma.ai,"[""AI Editing"", ""Customizable"", ""Real-time""]",https://www.gamma.ai/assets/images/gamma-seo.png,gamma-158,2026-07-03T03:10:39.581986+00:00
Qmarkets,Innovation management software with AI-powered idea management,Paid,"[""Hackathon"", ""Innovation Management"", ""AI-powered""]",92,https://www.qmarkets.net,"[""Idea Management"", ""AI-powered"", ""Customizable""]",,qmarkets-159,2026-07-03T03:10:41.077698+00:00
Hackerearth,Hackathon platform with AI-powered tools for innovation,Custom,"[""Hackathon"", ""Innovation Platform"", ""AI-powered""]",95,https://www.hackerearth.com,"[""AI Co-pilot"", ""Innovation Management"", ""Customizable""]",https://cdn.hackerearth.com/webflow/homepage/assets/HackerEarth.png,hackerearth-160,2026-07-03T03:10:43.36111+00:00
DigitalOwl,AI-enhanced medical summaries for informed risk assessments.,Paid,"[""Medical report view"", ""AI Medical Record Reviews"", ""Insurance""]",92,https://www.digitalowl.com,"[""AI Summaries"", ""360 View"", ""Risk Assessments""]",https://cdn.prod.website-files.com/65dd6e276b50f5a766bd10d0/662e8db7163f23fdaf09c175_Home_DigitalOwl.png,digitalowl-161,2026-07-03T03:11:41.729602+00:00
Wisedocs,AI medical record review solutions for claims and healthcare providers.,Paid,"[""Medical report view"", ""AI Medical Record Reviews"", ""Claims""]",90,https://www.wisedocs.ai,"[""Faster Turnarounds"", ""Lower Costs"", ""Smarter Decisions""]",https://cdn.prod.website-files.com/681b7c91df230659c88b003f/6824c09236e4b7068c7ba18d_Email%20Banner.png,wisedocs-162,2026-07-03T03:11:42.302976+00:00
InPractice,AI medical record review software for clear summaries and chronologies.,Freemium,"[""Medical report view"", ""AI Medical Chronology"", ""Record Review""]",88,https://www.inpractice.ai,"[""Clear Summaries"", ""Detailed Chronologies"", ""Verify Answers""]",,inpractice-163,2026-07-03T03:11:42.895869+00:00
Kundli Online,Get instant chat readings and check Shubh Muhurat for weddings and events,Free,"[""Shubh muhurat"", ""Kundli"", ""Horoscope""]",90,https://kundli.online,"[""Daily Panchang"", ""Kundli Matching"", ""Shubh Muhurat""]",https://kundli.online/og-image.png,kundli-online-164,2026-07-03T03:13:22.523357+00:00
Choghadiya AI,Unlock auspicious timing with hyper-local Choghadiya listings and daily horoscopes,Paid,"[""Shubh muhurat"", ""Choghadiya"", ""AI""]",92,https://choghadiya.ai,"[""Location Based"", ""Daily Horoscope"", ""Auspicious Timing""]",,choghadiya-ai-165,2026-07-03T03:13:22.990539+00:00
KundliAPI,India's #1 free Kundli generator and best Vedic astrology API with 203+ endpoints,Freemium,"[""Shubh muhurat"", ""Kundli"", ""API""]",95,https://kundliapi.com,"[""Free Kundli"", ""Muhurat Tools"", ""AI Reports""]",https://kundliapi.com/images/og-banner.png,kundliapi-166,2026-07-03T03:13:24.604392+00:00
Magnific,AI image generator for text to image conversion,Freemium,"[""Picture to story"", ""AI Image Generator"", ""Text to Image""]",92,https://www.magnific.com/ai/image-generator,"[""Unlimited Generation"", ""Licensed Content"", ""Easy Use""]",https://media.magnific.com/images/ai/image-generator/mg-ai-image-generator-og.jpg?w=1200&h=675,magnific-134,2026-06-10T10:25:20.837755+00:00
Kling,"AI video generator with text to video, image to video, and edit/update output capabilities.",$10/mo,"[""video"", ""AI"", ""Generation""]",92,https://www.kling.ai,"[""Text Video"", ""Image Video"", ""Lip Sync""]",https://s16-kling.klingai.com/kos/s101/nlav112918/kling-web/kling-logo-payment-en.png,kling-50,2026-05-28T18:06:13.232645+00:00
